Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-01-29 19:30:00,3554,125.0,88.0
Zhejiang,Mainland China,2020-01-29 19:30:00,296,,3.0
Guangdong,Mainland China,2020-01-29 19:30:00,277,,5.0
Hunan,Mainland China,2020-01-29 19:30:00,221,,
Henan,Mainland China,2020-01-29 19:30:00,206,2.0,1.0
Anhui,Mainland China,2020-01-29 19:30:00,152,,2.0
Chongqing,Mainland China,2020-01-29 19:30:00,147,,1.0
Shandong,Mainland China,2020-01-29 19:30:00,130,,1.0
Beijing,Mainland China,2020-01-29 19:30:00,111,1.0,4.0
Jiangxi,Mainland China,2020-01-29 19:30:00,109,,3.0
Sichuan,Mainland China,2020-01-29 19:30:00,108,1.0,1.0
Jiangsu,Mainland China,2020-01-29 19:30:00,99,,1.0
Shanghai,Mainland China,2020-01-29 19:30:00,96,1.0,5.0
Fujian,Mainland China,2020-01-29 19:30:00,84,,
Guangxi,Mainland China,2020-01-29 19:30:00,58,,2.0
Shaanxi,Mainland China,2020-01-29 19:30:00,56,,
Yunnan,Mainland China,2020-01-29 19:30:00,55,,
Hebei,Mainland China,2020-01-29 19:30:00,48,1.0,
Hainan,Mainland China,2020-01-29 19:30:00,43,1.0,
Liaoning,Mainland China,2020-01-29 19:30:00,39,,1.0
Heilongjiang,Mainland China,2020-01-29 19:30:00,38,1.0,
Tianjin,Mainland China,2020-01-29 19:30:00,27,,
Shanxi,Mainland China,2020-01-29 19:30:00,27,,1.0
Gansu,Mainland China,2020-01-29 19:30:00,24,,
Inner Mongolia,Mainland China,2020-01-29 19:30:00,16,,
Xinjiang,Mainland China,2020-01-29 19:30:00,13,,
Ningxia,Mainland China,2020-01-29 19:30:00,12,,
Hong Kong,Hong Kong,2020-01-29 19:30:00,10,,
Guizhou,Mainland China,2020-01-29 19:30:00,9,,1.0
Jilin,Mainland China,2020-01-29 19:30:00,9,,
Taiwan,Taiwan,2020-01-29 19:30:00,8,,
Macau,Macau,2020-01-29 19:30:00,7,,
Qinghai,Mainland China,2020-01-29 19:30:00,6,,
Washington,US,2020-01-29 19:30:00,1,,
Illinois,US,2020-01-29 19:30:00,1,,
California,US,2020-01-29 19:30:00,2,,
Arizona,US,2020-01-29 19:30:00,1,,
,Japan,2020-01-29 19:30:00,7,,1.0
,Thailand,2020-01-29 19:30:00,14,,5.0
,South Korea,2020-01-29 19:30:00,4,,
,Singapore,2020-01-29 19:30:00,7,,
,Vietnam,2020-01-29 19:30:00,2,,
,France,2020-01-29 19:30:00,5,,
,Nepal,2020-01-29 19:30:00,1,,
,Malaysia,2020-01-29 19:30:00,7,,
Ontario,Canada,2020-01-29 19:30:00,1,,
British Columbia,Canada,2020-01-29 19:30:00,1,,
,Cambodia,2020-01-29 19:30:00,1,,
,Sri Lanka,2020-01-29 19:30:00,1,,
New South Wales,Australia,2020-01-29 19:30:00,4,,
Victoria,Australia,2020-01-29 19:30:00,1,,
Bavaria,Germany,2020-01-29 19:30:00,4,,
,Finland,2020-01-29 19:30:00,1,,
,United Arab Emirates,2020-01-29 19:30:00,4,,
