Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-01-30 16:00:00,4903,162.0,90.0
Zhejiang,Mainland China,2020-01-30 16:00:00,428,,4.0
Guangdong,Mainland China,2020-01-30 16:00:00,354,,10.0
Henan,Mainland China,2020-01-30 16:00:00,278,2.0,2.0
Hunan,Mainland China,2020-01-30 16:00:00,277,,2.0
Anhui,Mainland China,2020-01-30 16:00:00,200,,2.0
Chongqing,Mainland China,2020-01-30 16:00:00,182,,1.0
Jiangxi,Mainland China,2020-01-30 16:00:00,162,,5.0
Shandong,Mainland China,2020-01-30 16:00:00,158,,1.0
Sichuan,Mainland China,2020-01-30 16:00:00,142,1.0,1.0
Jiangsu,Mainland China,2020-01-30 16:00:00,129,,1.0
Beijing,Mainland China,2020-01-30 16:00:00,114,1.0,4.0
Shanghai,Mainland China,2020-01-30 16:00:00,112,1.0,5.0
Fujian,Mainland China,2020-01-30 16:00:00,101,,
Guangxi,Mainland China,2020-01-30 16:00:00,78,,2.0
Yunnan,Mainland China,2020-01-30 16:00:00,70,,
Hebei,Mainland China,2020-01-30 16:00:00,65,1.0,
Shaanxi,Mainland China,2020-01-30 16:00:00,63,,
Hainan,Mainland China,2020-01-30 16:00:00,46,1.0,1.0
Heilongjiang,Mainland China,2020-01-30 16:00:00,44,2.0,
Liaoning,Mainland China,2020-01-30 16:00:00,41,,1.0
Shanxi,Mainland China,2020-01-30 16:00:00,35,,1.0
Tianjin,Mainland China,2020-01-30 16:00:00,31,,
Gansu,Mainland China,2020-01-30 16:00:00,26,,
Inner Mongolia,Mainland China,2020-01-30 16:00:00,19,,
Ningxia,Mainland China,2020-01-30 16:00:00,17,,
Jilin,Mainland China,2020-01-30 16:00:00,14,,1.0
Xinjiang,Mainland China,2020-01-30 16:00:00,14,,
Guizhou,Mainland China,2020-01-30 16:00:00,12,,1.0
Hong Kong,Hong Kong,2020-01-30 16:00:00,10,,
Taiwan,Taiwan,2020-01-30 16:00:00,9,,
Qinghai,Mainland China,2020-01-30 16:00:00,8,,
Macau,Macau,2020-01-30 16:00:00,7,,
Tibet,Mainland China,2020-01-30 16:00:00,1,,
Washington,US,2020-01-30 16:00:00,1,,
Illinois,US,2020-01-30 16:00:00,1,,
California,US,2020-01-30 16:00:00,2,,
Arizona,US,2020-01-30 16:00:00,1,,
,Japan,2020-01-30 16:00:00,11,,1.0
,Thailand,2020-01-30 16:00:00,14,,5.0
,South Korea,2020-01-30 16:00:00,4,,
,Singapore,2020-01-30 16:00:00,10,,
,Vietnam,2020-01-30 16:00:00,2,,
,France,2020-01-30 16:00:00,5,,
,Nepal,2020-01-30 16:00:00,1,,
,Malaysia,2020-01-30 16:00:00,8,,
Ontario,Canada,2020-01-30 16:00:00,2,,
British Columbia,Canada,2020-01-30 16:00:00,1,,
,Cambodia,2020-01-30 16:00:00,1,,
,Sri Lanka,2020-01-30 16:00:00,1,,
New South Wales,Australia,2020-01-30 16:00:00,4,,2.0
Victoria,Australia,2020-01-30 16:00:00,2,,
Queensland,Australia,2020-01-30 16:00:00,3,,
Bavaria,Germany,2020-01-30 16:00:00,4,,
,Finland,2020-01-30 16:00:00,1,,
,United Arab Emirates,2020-01-30 16:00:00,4,,
,Philippines,2020-01-30 16:00:00,1,,
,India,2020-01-30 16:00:00,1,,
